stage,L,Nv,q,W,alpha,bc,placement,n_real,seed_base,n_spacings,D_pooled,p_pooled,D_min,D_med,D_max,mean_abs_dR2,d_GUE,d_Pois,r_mean,D_excess,ks_pass,r2_pass,gue_closer,stab_pass,composite_ok,runtime_s
A,24,3,0.7,0.5,0.5,open,protocol,3,96,1029,0.141307,4.76302e-18,0.133948,0.136725,0.164355,0.120268,0.112445,0.161853,0.555663,0.108857,False,False,True,True,False,0.211308
A,24,3,0.7,1.0,0.5,open,protocol,3,96,1029,0.140203,8.95764e-18,0.139151,0.142861,0.157289,0.123528,0.118769,0.172668,0.554579,0.107753,False,False,True,True,False,0.211685
A,24,3,1.0,0.0,0.5,open,protocol,3,96,1029,0.0899588,1.44108e-07,0.081735,0.0887889,0.124298,0.134695,0.128955,0.208308,0.586376,0.0575088,True,False,True,True,False,0.250534
A,24,3,1.0,0.5,0.5,open,protocol,3,96,1029,0.0985475,5.36751e-09,0.0856532,0.102118,0.11736,0.113826,0.111005,0.184958,0.57714,0.0660975,True,False,True,True,False,0.216
A,24,3,1.0,1.0,0.5,open,protocol,3,96,1029,0.0932085,4.29873e-08,0.0893213,0.11051,0.114329,0.109806,0.0990131,0.170702,0.573825,0.0607585,True,False,True,True,False,0.206431
A,24,4,0.2,0.0,0.5,open,protocol,3,96,1029,0.542863,1.60265e-260,0.527903,0.555352,0.566838,0.398532,0.391429,0.303675,0.365904,0.510413,False,False,False,True,False,0.204894
A,24,4,0.2,0.5,0.5,open,protocol,3,96,1029,0.471244,2.023e-196,0.437755,0.494449,0.49554,0.304369,0.299807,0.224776,0.408877,0.438794,False,False,False,True,False,0.209311
A,24,4,0.2,1.0,0.5,open,protocol,3,96,1029,0.428696,1.25973e-162,0.386368,0.448474,0.474687,0.253086,0.24787,0.172176,0.423799,0.396246,False,False,False,True,False,0.212075
A,24,4,0.3,0.0,0.5,open,protocol,3,96,1029,0.415286,1.22766e-152,0.382245,0.433341,0.440908,0.268879,0.263856,0.197739,0.41996,0.382836,False,False,False,True,False,0.209298
A,24,4,0.3,0.5,0.5,open,protocol,3,96,1029,0.362394,2.46897e-116,0.345508,0.373886,0.387485,0.205698,0.204217,0.150793,0.459922,0.329944,False,False,False,True,False,0.234473
A,24,4,0.3,1.0,0.5,open,protocol,3,96,1029,0.321237,1.67827e-91,0.276796,0.321237,0.3763,0.200599,0.198226,0.15448,0.473782,0.288787,False,False,False,True,False,0.206232
A,24,4,0.5,0.0,0.5,open,protocol,3,96,1029,0.220737,1.98379e-43,0.188912,0.234628,0.260585,0.171644,0.162908,0.157429,0.506592,0.188287,False,False,False,True,False,0.210989
A,24,4,0.5,0.5,0.5,open,protocol,3,96,1029,0.192136,5.24126e-33,0.154041,0.20359,0.225535,0.151914,0.147564,0.161362,0.542219,0.159686,False,False,True,True,False,0.209252
A,24,4,0.5,1.0,0.5,open,protocol,3,96,1029,0.160537,3.59074e-23,0.137936,0.190856,0.19361,0.130304,0.126446,0.156692,0.554803,0.128087,False,False,True,True,False,0.200556
A,24,4,0.7,0.0,0.5,open,protocol,3,96,1029,0.149681,3.36722e-20,0.156884,0.159006,0.162709,0.138809,0.131075,0.169227,0.549894,0.117231,False,False,True,True,False,0.199649
A,24,4,0.7,0.5,0.5,open,protocol,3,96,1029,0.110394,3.50831e-11,0.115213,0.121283,0.128515,0.126099,0.123376,0.185941,0.583527,0.0779445,False,False,True,True,False,0.206503
A,24,4,0.7,1.0,0.5,open,protocol,3,96,1029,0.108897,6.83681e-11,0.0570845,0.137765,0.14655,0.113436,0.106492,0.175126,0.563716,0.0764474,False,False,True,True,False,0.21033
