s_AB,s_zeta
1.15846944,0.52340731
0.77755487,0.95908812
1.41749078,1.09858313
0.55127746,0.90736699
1.23735529,1.43552285
0.02796471,0.61735839
2.32367114,1.47958853
0.64197915,0.65441095
0.71785787,0.56370012
1.25073487,1.17933515
1.90654050,1.53214196
1.41986865,0.95910236
1.10961830,0.70259204
1.19634754,0.87652859
0.31724637,1.19389414
0.10956097,0.82692362
1.19038765,0.95856579
1.83721524,1.72360248
1.37008368,0.39443638
0.85553804,1.15929282
0.37948731,0.66499857
0.54439056,0.86802631
0.97421180,1.75868991
2.22642437,0.67317120
1.21854637,0.92297393
0.05814809,1.07494832
0.83253832,1.09907564
2.17307953,0.39253948
0.67712845,1.35192005
0.65546673,1.36319285
1.18159491,1.10573043
0.52689371,0.61601031
0.74788586,0.59571785
1.24480672,1.43896534
0.33465212,0.84999515
0.79152498,1.39220474
0.26973087,0.71265015
0.99923392,1.21495519
0.97252429,0.80499473
1.88923790,0.90029559
0.85957092,0.59781273
1.56054714,1.99342721
0.59135904,0.69392063
2.01482419,0.70268834
1.04714289,1.16727598
1.63842062,0.68484939
0.43319022,1.28246463
0.75571734,0.88792253
1.20613496,1.20470860
1.23447467,1.32967884
0.68577632,0.44697408
0.42352775,0.97339111
0.79895211,0.74453562
0.88555046,1.49668311
1.52898689,1.20358904
0.59998471,0.90271265
1.10658895,0.46839042
0.81190035,1.55122919
1.78167389,0.63912420
0.78897680,0.73262501
0.59602659,1.63321723
1.00120870,1.02385762
1.14380875,0.90865979
0.66543817,0.74300126
1.06486330,0.73282792
2.13919852,1.23826736
0.48400448,1.51199289
0.85572691,0.45259215
0.54608955,1.31526166
1.26950596,0.99757121
0.58453430,0.65524390
1.51057433,1.05839512
0.92258625,0.78648427
1.01073766,1.99192417
0.87013059,0.35446176
1.63634521,0.98782286
0.74347031,0.74879643
0.78559641,1.28651064
0.85236285,0.77145520
1.06213614,1.33296441
1.45749245,0.99470464
0.50356105,0.96222484
1.21546628,1.26464014
0.82041643,0.29649960
0.73534350,0.86240818
1.42181247,1.75761739
0.52028684,0.93256537
2.02753450,0.97652764
1.21716764,0.65462965
0.98642858,1.11397749
0.22389780,1.04810371
0.59271218,0.76884441
1.37040017,1.22236726
2.13650291,1.44553309
0.48048066,0.79024856
1.77629162,0.47482378
0.62433635,1.25092301
1.02314995,0.66065199
1.06272086,1.65768025
0.62152816,1.14610035
1.03060982,0.24709139
0.23231850,1.57042870
1.60816297,0.74027877
0.54912752,0.85476075
0.71895047,0.80849686
0.45589779,1.70031428
2.70534658,0.85806472
0.21306502,1.06306837
0.92379143,0.51286726
0.45461029,0.88589580
0.80496168,1.48239300
1.89397132,0.74754652
0.57303041,1.30379936
0.78836890,0.92961890
0.68558117,0.95612078
1.33055932,1.02678858
1.46344487,0.54737723
0.78313806,1.00887262
2.04317601,1.82187755
1.33225411,0.77058395
0.57114970,0.61171712
0.46222040,1.01574820
0.91885903,1.26987916
0.66851305,0.45980447
0.82322509,1.54428201
0.31464900,0.76345903
2.57869761,1.49249350
0.17889317,0.70946849
1.17928733,0.76015716
0.80433151,0.71985191
1.26042970,1.28486590
0.71530551,1.47673757
0.27767010,0.71072747
1.29525052,1.05566837
0.70411516,0.68124223
2.34771469,1.33070082
0.83413143,0.76317901
0.08194589,0.65099385
1.32464539,1.87920344
1.09674875,0.78280375
0.71306769,0.79534838
1.69784452,1.05010454
1.17382786,0.48685617
0.87177667,1.38642596
1.72784517,1.28077160
1.32063723,0.91498645
0.88449445,0.77491215
0.30778763,1.57494721
0.31341456,0.24345065
0.92087086,1.04144308
1.63440987,0.97025432
0.63194821,1.45206477
0.52518735,1.37691108
2.06608022,0.38846513
1.10600682,0.73725653
0.23765179,1.30008527
1.23313463,0.92076051
0.36317820,0.98205542
2.05518980,1.26133075
0.30491607,1.00092610
0.56344677,1.04265712
1.19340120,0.75609757
0.65444608,1.04169943
1.85349579,0.34792621
0.69690293,2.20246013
1.11413779,0.48228378
1.58347961,1.04095330
0.43144023,0.92826549
1.22878494,0.89674481
0.32407986,1.10203840
0.77328114,0.77998745
1.70905699,1.17087010
1.07124250,1.44455172
0.66716634,0.81473966
1.64256703,0.87012749
1.02571614,0.47019803
0.83795318,1.35716667
1.64646854,1.00146626
0.62630311,1.58704411
0.68377010,0.43542137
0.82393196,0.97640834
0.47379366,1.32783923
0.29639927,0.81213946
2.50351852,0.42480759
1.14981355,1.44704504
0.35769623,1.60534976
1.30813351,0.52800455
0.66936512,1.05287178
0.80145456,0.71601281
1.49303372,0.88914945
0.46116490,1.34362947
1.17546480,1.05207125
1.88056432,0.82693392
0.29145656,1.47910312
0.83483335,0.54286560
1.25368093,1.01597280
0.75831163,0.89314746
1.05150281,0.67413078
1.05512007,1.87862805
1.29714325,0.87355551
1.12218387,0.75406346
0.17592218,0.69468898
2.25503259,1.35638523
0.41486553,0.82025350
0.43900125,0.79562155
0.47370023,1.56698499
1.59984043,0.72240956
0.61322599,1.43012389
0.78026538,0.57960955
0.81250073,0.63928702
2.03267518,1.00423995
1.17391963,1.52936993
0.09442037,1.03297560
1.07234329,0.95044699
2.33424980,0.71997150
1.54013136,1.24836425
0.28007455,0.69939944
0.37435484,1.18452760
1.31778654,0.54156394
0.83028927,1.88503020
0.88132678,1.02032246
1.03915984,0.26724628
0.76541782,1.25443302
1.28902295,0.75766672
0.93170016,1.06070256
1.13403541,1.49374274
1.66921446,0.73962234
0.35281224,0.97615625
0.13952125,1.15860492
2.05036205,1.00853514
1.98637368,0.50420707
0.27197578,0.89856072
1.47832660,1.62373340
0.71094534,1.10192721
0.55886584,0.87755775
0.05313094,0.89377008
2.40815048,0.43220811
1.40252489,1.83642037
0.60390248,0.23632470
1.57872550,1.46305600
1.19070584,1.09309375
0.58995607,1.15618397
0.85321616,0.70826067
0.34303378,1.01701638
0.87683468,0.60918392
1.36154686,1.05474444
0.93443574,1.84595567
0.50145111,0.68216425
0.86042068,0.54587418
0.45105691,1.36046853
1.04149828,0.86471423
0.46478836,0.81300715
1.44923440,1.08026116
1.05528455,1.05425266
1.34946204,1.44779281
2.15768402,0.88562389
0.31355563,0.71268256
1.30128324,0.72954173
0.97851978,0.99669257
0.19268697,1.42454896
1.53142764,0.91450466
1.58155300,1.37304274
0.75917354,0.35341762
1.01829043,1.29868130
1.13844508,1.11434157
1.38320607,0.55496635
0.62092258,0.77438950
0.25121336,1.99252567
0.95744935,0.59443511
1.77756931,1.22851712
1.22215521,0.35488716
0.48881852,1.22844625
1.86095254,0.86499805
0.61972245,1.27690088
0.49262881,1.11336982
1.40680891,0.73016163
0.48570788,1.50436486
1.06264029,0.72373850
0.51517720,0.54122568
0.74668394,1.17304244
1.45539988,0.84921000
0.54379794,1.76977583
1.53104855,0.80863407
1.68475918,0.68360135
0.45575023,0.85280454
1.13548020,1.22773915
0.94444554,0.98673107
0.35137055,0.63845040
1.55468031,1.43838511
1.27799887,1.28074736
0.96615099,0.63864111
0.29102657,1.17633236
2.40959651,0.76899671
0.50772748,0.37566861
1.02734368,1.80685261
0.26135480,1.17458457
1.06897885,0.67290827
0.87217259,1.11418792
0.18244800,0.85226996
2.09946292,1.13393911
0.84527538,0.70277449
1.60368670,0.93624268
1.05752702,1.28230947
1.17298239,1.58907112
0.71323767,0.50900306
0.67410005,0.70216797
1.10131389,0.94746691
0.89087020,1.22410713
0.57705685,0.78330545
0.85871973,1.65680694
0.81339374,0.49903712
1.54416379,1.08350005
1.07439053,1.38687418
1.06510669,0.40406009
0.66326517,1.07213443
0.83208490,0.61171833
2.34921837,1.96726333
0.47619267,0.72886233
0.53721174,0.93140311
1.47823578,0.93652385
0.90356861,0.64667926
0.45158999,1.24680842
0.66857438,1.17944085
0.44546931,0.59544198
0.98080015,1.58117151
1.12286645,0.90198796
1.89902827,0.98276814
1.62952881,0.64999354
1.93480982,0.99543803
0.57768283,0.76664708
0.62884849,1.70779585
1.10283241,1.05336058
0.81044772,0.71472261
0.54413095,0.63568601
1.02238725,1.63167593
0.71087098,0.48373916
1.96372396,0.82837360
0.41959404,1.35731921
0.21159338,1.14343157
1.34865520,1.22121269
1.20295477,0.82141789
1.01980136,0.60492179
0.71404109,0.84532518
0.90290295,1.24486507
1.30083355,1.27862290
0.86221626,0.99290083
0.75286741,0.84976303
1.11381762,1.24075687
0.86036373,0.57796958
1.04691411,1.39440892
0.73093205,0.40380899
1.04917668,0.97440504
0.60590807,2.04489803
1.41002202,0.50354394
1.00596348,0.78296183
1.12306094,1.10139479
0.79995430,0.67712011
1.31878058,1.26785480
0.61246957,0.89154777
0.21715653,1.44556215
